log,log_name,resolution,config,days,status,completed,completed_markers,hit_time_limit,mpi_abort,gpu_mapping_markers,experiment,output,mpp_tmin_s,mpp_tmax_s,mpp_tavg_s,mpp_tstd_s,runtime_per_day_s,fv_backend,fv_calls,fv_allocation_s,fv_h2d_s,fv_kernel_s,fv_sync_s,fv_d2h_s,fv_free_s,fv_total_s,fv_fraction_of_mpp,outlier_note
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T85L25_fv_cuda_a_grid_1gpu_120day.log,matrix_T85L25_fv_cuda_a_grid_1gpu_120day.log,T85L25,fv_cuda_a_grid_1gpu,120,complete,True,120,False,False,16,held_suarez_fv_cuda_a_grid_1gpu_T85L25_120day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fv_cuda_a_grid_1gpu_T85L25_120day/run0001/atmos_monthly.nc,1052.427252,1052.427253,1052.427253,0.0,8.770227108333334,cuda_resident,69120,0.005349138,13.792298509,124.383446947,125.177644423,0.95744422,0.0,143.154878639,0.1360235381884395,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T85L25_fv_cuda_a_grid_4gpu_120day.log,matrix_T85L25_fv_cuda_a_grid_4gpu_120day.log,T85L25,fv_cuda_a_grid_4gpu,120,complete,True,120,False,False,16,held_suarez_fv_cuda_a_grid_4gpu_T85L25_120day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fv_cuda_a_grid_4gpu_T85L25_120day/run0001/atmos_monthly.nc,1146.067568,1146.067762,1146.067662,5.3e-05,9.550564683333333,cuda_resident,69120,0.000331809,4.246994748,18.405145662,17.88144654,0.787639148,0.0,24.700332441,0.02155224434364641,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T170L25_fortran_16cpu_30day.log,matrix_T170L25_fortran_16cpu_30day.log,T170L25,fortran_16cpu,30,complete,True,30,False,False,0,held_suarez_fortran_16cpu_T170L25_30day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fortran_16cpu_T170L25_30day/run0001/atmos_monthly.nc,2259.014376,2259.014377,2259.014377,0.0,75.30047923333333,,,,,,,,,,,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T170L25_fv_cuda_a_grid_1gpu_30day.log,matrix_T170L25_fv_cuda_a_grid_1gpu_30day.log,T170L25,fv_cuda_a_grid_1gpu,30,complete,True,30,False,False,16,held_suarez_fv_cuda_a_grid_1gpu_T170L25_30day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fv_cuda_a_grid_1gpu_T170L25_30day/run0001/atmos_monthly.nc,2349.298233,2349.298236,2349.298234,1e-06,78.3099412,cuda_resident,34560,0.001499621,10.460315081,54.493526491,54.951689137,0.823847674,0.0,68.931678541,0.02934139118001704,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T170L25_fv_cuda_a_grid_4gpu_30day.log,matrix_T170L25_fv_cuda_a_grid_4gpu_30day.log,T170L25,fv_cuda_a_grid_4gpu,30,complete,True,30,False,False,16,held_suarez_fv_cuda_a_grid_4gpu_T170L25_30day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fv_cuda_a_grid_4gpu_T170L25_30day/run0001/atmos_monthly.nc,11294.293049,11294.293419,11294.29322,9.2e-05,376.47644729999996,cuda_resident,34560,0.002449989,3.271010846,7.230484672,6.785724091,0.846044259,0.0,12.425837795,0.001100187265729828,completed but performance outlier
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T170L25_fortran_16cpu_60day.log,matrix_T170L25_fortran_16cpu_60day.log,T170L25,fortran_16cpu,60,complete,True,60,False,False,0,held_suarez_fortran_16cpu_T170L25_60day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fortran_16cpu_T170L25_60day/run0001/atmos_monthly.nc,4535.960442,4535.960443,4535.960443,0.0,75.59934071666666,,,,,,,,,,,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T170L25_fv_cuda_a_grid_1gpu_60day.log,matrix_T170L25_fv_cuda_a_grid_1gpu_60day.log,T170L25,fv_cuda_a_grid_1gpu,60,complete,True,60,False,False,16,held_suarez_fv_cuda_a_grid_1gpu_T170L25_60day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fv_cuda_a_grid_1gpu_T170L25_60day/run0001/atmos_monthly.nc,4733.146763,4733.146763,4733.146763,0.0,78.88577938333333,cuda_resident,69120,0.007275864,20.511201979,111.846154654,113.343269099,1.738125165,0.0,139.122890647,0.029393318570755674,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T170L25_fv_cuda_a_grid_4gpu_60day.log,matrix_T170L25_fv_cuda_a_grid_4gpu_60day.log,T170L25,fv_cuda_a_grid_4gpu,60,partial_time_limit,False,44,True,False,16,held_suarez_fv_cuda_a_grid_4gpu_T170L25_60day,,,,,,,,,,,,,,,,,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T170L25_fortran_16cpu_90day.log,matrix_T170L25_fortran_16cpu_90day.log,T170L25,fortran_16cpu,90,complete,True,90,False,False,0,held_suarez_fortran_16cpu_T170L25_90day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fortran_16cpu_T170L25_90day/run0001/atmos_monthly.nc,6641.084747,6641.084748,6641.084747,0.0,73.78983053333333,,,,,,,,,,,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T170L25_fv_cuda_a_grid_1gpu_90day.log,matrix_T170L25_fv_cuda_a_grid_1gpu_90day.log,T170L25,fv_cuda_a_grid_1gpu,90,complete,True,90,False,False,16,held_suarez_fv_cuda_a_grid_1gpu_T170L25_90day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fv_cuda_a_grid_1gpu_T170L25_90day/run0001/atmos_monthly.nc,7105.579312,7105.579313,7105.579313,0.0,78.95088125555556,cuda_resident,103680,0.004195726,29.995102531,160.236314891,162.230701523,2.479250907,0.0,199.037068884,0.028011378118016652,
